"Content","Sentiment","Label"
"Good..","positif","1"
"Top up shoppeepay dari Octo mobil dari semalam tidak bisa .gagal terus!!!!","negatif","-1"
"Cepat dan gratis biaya tranfernya.","positif","1"
"Aplikasinya ngelag","negatif","-1"
"Oke","netral","0"
"Terbaik","positif","1"
"Gajelas banget ni aplikasi tiap di klik tiba2 keluar sendiri parah","negatif","-1"
"Apik","positif","1"
"gak bisa menyelesaikan masalah dengan cepat, cimb sampah niaga","negatif","-1"
"hati-hati buka tabungan xtra saver, saldo di bawah minimum, langsung di kuras Rp 250.000 setiap bulan sampe ludes, tanpa pemberitahuan!!!","negatif","-1"
"Aplikasi tidak bisa dibuka, selalu keluar sendiri","negatif","-1"
"Bagus saya suka semua transaksi lancar","positif","1"
"Goddd","positif","1"
"Saya mau tanya, saya ojol pakai rekening ponsel CIMB niaga.. tapi di beberapa ATM CIMB niaga tools rekening ponsel sudah berganti jadi Octo mobile. Bagaimana cara saya tarik tunai di ATM?? Sedangkan saya download Octo mobile, saya login dengan nomor handphone yang saya daftarkan untuk rekening ponsel. Tidak dapat kode verifikasi... Tolong di bantu.","netral","0"
"penggunaan mudah","positif","1"
"memudahkan transaksi","positif","1"
"Cepat dan mudah","positif","1"
"Simple dan gampang dimengerti","positif","1"
"Memudahkan","positif","1"
"lebih cepat","positif","1"
"tolong lah perbarui, ,di xiaomi mi8 ga bisa di buka ini palikasi, padahal hp memenuhi smua syarat loh","negatif","-1"
"Mantap","positif","1"
"Very nice","positif","1"
"Terbaik deh.. Sangat membantu","positif","1"
"baguss","positif","1"
"Octo Mobile by CIMB NIAGA aplication is the best aplication for me","positif","1"
"Terimakasih untuk pelayanannya yang sudah lebih baik","positif","1"
"Mudah dan cepat","positif","1"
"ðŸ‘ðŸ‘","positif","1"
"Praktis dan cepat","positif","1"
"Aplikasi buruk ribet","negatif","-1"
"Makin baik ajah pelayanan go mobile nya","positif","1"
"Saya sudah lama menggunakan aplikasi ini, dari pemakaian awal sampai sekarang terdapat beberapa penambahan fitur menarik. Namun, sejak update terakhir. Ketika saya sudah logout dan hendak menutup aplikasi dengan menekan tombol back, bukannya menutup aplikasi melainkan mundur ke halaman sebelumnya padahal sudah dilogout (statusnya tetap logout tapi menampilkan halaman sebelumnya). Meski masih bisa menutup aplikasi dengan tombol home, tapi ini agak mengganggu saya","netral","0"
"Sangat memuaskan","positif","1"
"TOLONG DI PERBAIKI JARINGAN NYA MASAK LOGIN MESTI PAKAI DATA, PAKAI WIFI MENTAL TERUS / KELUAR TERUS DR APK.","negatif","-1"
"Cukup praktis dan simple","positif","1"
"Aplikasi Octo mobile membantu saya dalam transaksi.. terima kasih","positif","1"
"Operasionalnya mudah, proses transaksi cepat dan banyak produk perbankan yg bisa diakses secara digital","positif","1"
"Disaat mau dipake buat bayar, sering kali ada perbaikan, bikin gak nyaman karena gak bisa digunakan saat ada perbaikan bgst","negatif","-1"
"Saya membuka rekening berhasil tapi tidak bisa login, passcode tidak masuk padahal kartu SIM sudah di SIM1 pulsa juga ada","negatif","-1"
"Penggunaan aplikasi yg sangat mudah","positif","1"
"oke, lancar pembayaran apapun. terima kasih.","positif","1"
"Good","positif","1"
"Cepat dan aman","positif","1"
"Cukup mudah dan sangat membantu terimakasih","positif","1"
"Mantp","positif","1"
"Aplikasi bodoh bukannya bikin simpel malah bikin kartu lama aktifnya, karna harus nunggu kartu debit datang Ngirimnya juga gak niat, gak ada resi sama lacak pengiriman Yang mau daftar lewat ini aplikasi AWAS NYESEL","negatif","-1"
"Aplikasi Mobile perbankan terbusuk yg pernah ada. Sulit banget login ketika di butuhkan. Selalu muncul pop up perangkat tidak mendukung. Padahal mobile banking bank lain aman saja.","negatif","-1"
"Aman dan lancar","positif","1"
"Mantap","positif","1"
"Oke baik","positif","1"
"Bagus","positif","1"
"Bagus","positif","1"
"CIMB niaga harus meningkatkan layanan cs 14041 nya. Proses menunggu di CS selalu lama sekali.. harus menghabiskan banyak pulsa hanya untuk proses perubahan data alamat. Dijanjikan akan di telpon kembali. Tapi tidak di telpon2. Kecewaa","negatif","-1"
"Aplikasi cukup membantu, pembayaran wifi, listrik, tranfer beda bank atau sesama cimb","positif","1"
"Mantap","positif","1"
"Lebih baik dari sblmnya...","positif","1"
"Ruat biasa, mudah bingit dan lancar jaya","positif","1"
"Aplikasi yang jarang sekali update , terima kasih","positif","1"
"bagus","positif","1"
"ga jelas sering force close eror mulu","negatif","-1"
"Bagus sekali dan memudahkan","positif","1"
"Aplikasi nya error di android, padahal udah pake android terbaru, mau masuk apllikasi malah nge bug keluar sendiri. Perbaikin dong bug nya","negatif","-1"
"Joss gandos","positif","1"
