,Content,Sentiment,Label,caseFold,PuncRev,review_token,stopwords_removal,stemming
0,Good..,positif,1,good..,good ,['good'],['good'],['good']
1,Top up shoppeepay dari Octo mobil dari semalam tidak bisa .gagal terus!!!!,negatif,-1,top up shoppeepay dari octo mobil dari semalam tidak bisa .gagal terus!!!!,top up shoppeepay dari octo mobil dari semalam tidak bisa  gagal terus ,"['top', 'up', 'shoppeepay', 'dari', 'octo', 'mobil', 'dari', 'semalam', 'tidak', 'bisa', 'gagal', 'terus']","['top', 'up', 'shoppeepay', 'octo', 'mobil', 'semalam', 'gagal']","['top', 'up', 'shoppeepay', 'octo', 'mobil', 'malam', 'gagal']"
2,Cepat dan gratis biaya tranfernya.,positif,1,cepat dan gratis biaya tranfernya.,cepat dan gratis biaya tranfernya ,"['cepat', 'dan', 'gratis', 'biaya', 'tranfernya']","['cepat', 'gratis', 'biaya', 'tranfernya']","['cepat', 'gratis', 'biaya', 'tranfernya']"
3,Aplikasinya ngelag,negatif,-1,aplikasinya ngelag,aplikasinya ngelag,"['aplikasinya', 'ngelag']","['aplikasinya', 'ngelag']","['aplikasi', 'ngelag']"
4,Oke,netral,0,oke,oke,['oke'],['oke'],['oke']
5,Terbaik,positif,1,terbaik,terbaik,['terbaik'],['terbaik'],['baik']
6,Gajelas banget ni aplikasi tiap di klik tiba2 keluar sendiri parah,negatif,-1,gajelas banget ni aplikasi tiap di klik tiba2 keluar sendiri parah,gajelas banget ni aplikasi tiap di klik tiba  keluar sendiri parah,"['gajelas', 'banget', 'ni', 'aplikasi', 'tiap', 'di', 'klik', 'tiba', 'keluar', 'sendiri', 'parah']","['gajelas', 'banget', 'ni', 'aplikasi', 'klik', 'parah']","['gajelas', 'banget', 'ni', 'aplikasi', 'klik', 'parah']"
7,Apik,positif,1,apik,apik,['apik'],['apik'],['apik']
8,"gak bisa menyelesaikan masalah dengan cepat, cimb sampah niaga",negatif,-1,"gak bisa menyelesaikan masalah dengan cepat, cimb sampah niaga",gak bisa menyelesaikan masalah dengan cepat  cimb sampah niaga,"['gak', 'bisa', 'menyelesaikan', 'masalah', 'dengan', 'cepat', 'cimb', 'sampah', 'niaga']","['gak', 'menyelesaikan', 'cepat', 'cimb', 'sampah', 'niaga']","['gak', 'selesai', 'cepat', 'cimb', 'sampah', 'niaga']"
9,"hati-hati buka tabungan xtra saver, saldo di bawah minimum, langsung di kuras Rp 250.000 setiap bulan sampe ludes, tanpa pemberitahuan!!!",negatif,-1,"hati-hati buka tabungan xtra saver, saldo di bawah minimum, langsung di kuras rp 250.000 setiap bulan sampe ludes, tanpa pemberitahuan!!!",hati hati buka tabungan xtra saver  saldo di bawah minimum  langsung di kuras rp   setiap bulan sampe ludes  tanpa pemberitahuan ,"['hati', 'hati', 'buka', 'tabungan', 'xtra', 'saver', 'saldo', 'di', 'bawah', 'minimum', 'langsung', 'di', 'kuras', 'rp', 'setiap', 'bulan', 'sampe', 'ludes', 'tanpa', 'pemberitahuan']","['hati', 'hati', 'buka', 'tabungan', 'xtra', 'saver', 'saldo', 'minimum', 'langsung', 'kuras', 'rp', 'sampe', 'ludes', 'pemberitahuan']","['hati', 'hati', 'buka', 'tabung', 'xtra', 'saver', 'saldo', 'minimum', 'langsung', 'kuras', 'rp', 'sampe', 'ludes', 'pemberitahuan']"
